name,1,2,3
244_100_rem,0.746984711462,0.757574968542,0.762013739741
333_100_rem,0.852822914862,0.852822914862,0.852822914862
666_100_rem,0.501072605392,0.499681613673,0.501394974832
666_100_rem,0.500061077687,0.498728992377,0.502471281736
333_100_rem,0.852822914862,0.852822914862,0.852822914862
222_100_rem,0.745528456183,0.744198945912,0.746351358492
444_100_rem,0.758782484484,0.764616229826,0.761252317043
222_boost_100_rem,0.625298881069,0.622135103208,0.630122267279
222_boost_100_rem,0.739824754367,0.735635847219,0.730245499681
222_bag_20_rem,0.758783652291,0.759984367212,0.754915020996
111_rem,0.860936740051,0.860936740051,0.860936740051
111_bag_rem,0.85034692485,0.849332620418,0.847177672984
555_100_rem,0.759353430226,0.758588629253,0.760999918597
