,filename,1,2,3
0,Bagging_tree_decision_10.txt,0.428662154,0.404550514,0.672751245
1,submit2ndDT.txt,0.383300911,0.468871287,0.702814095
2,UtlimateClassifier.txt,0.966559476,0.895460303,0.960472036
3,testY.txt,0.401816429,0.494742338,0.124805415
4,PASM_Output_1112.txt,0.96815326,0.899083108,0.959799864
6,Bagging_tree_60.txt,0.271266341,0.391513146,0.853890477
7,resultsNov12.csv,error,error,error
8,resultsOld.csv,error,error,error
9,TK_test_predictions2.txt,0.90884466,0.82020527,0.866649462
